title,series_type,episodes,status,premiered,source,duration,rating,score,votes
Saiki Kusuo no Ψ-nan,TV,120,Finished Airing,Summer 2016,Manga,5,PG-13 - Teens 13 or older,8.47,238153
Orange,TV,13,Finished Airing,Summer 2016,Manga,24,PG-13 - Teens 13 or older,7.62,223205
Dragon Ball Super,TV,131,Finished Airing,Summer 2015,Manga,23,PG-13 - Teens 13 or older,7.45,259599
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV,13,Finished Airing,Summer 2020,Light novel,26,R - 17+ (violence & profanity),8.6,170562
Barakamon,TV,12,Finished Airing,Summer 2014,Web manga,22,PG-13 - Teens 13 or older,8.42,247510
Psycho-Pass 2,TV,11,Finished Airing,Fall 2014,Original,23,R - 17+ (violence & profanity),7.44,252687
Monogatari Series: Second Season,TV,26,Finished Airing,Summer 2013,Light novel,24,R - 17+ (violence & profanity),8.78,249388
IS: Infinite Stratos,TV,12,Finished Airing,Winter 2011,Light novel,24,PG-13 - Teens 13 or older,6.79,267951
Chuunibyou demo Koi ga Shitai! Ren,TV,12,Finished Airing,Winter 2014,Light novel,24,PG-13 - Teens 13 or older,7.56,277469
Ao no Exorcist: Kyoto Fujouou-hen,TV,12,Finished Airing,Winter 2017,Manga,24,PG-13 - Teens 13 or older,7.47,238616
Strike the Blood,TV,24,Finished Airing,Fall 2013,Light novel,24,R+ - Mild Nudity,7.17,227335
K-On!!,TV,26,Finished Airing,Spring 2010,4-koma manga,24,PG-13 - Teens 13 or older,8.15,252846
Eromanga-sensei,TV,12,Finished Airing,Spring 2017,Light novel,23,PG-13 - Teens 13 or older,6.54,262534
Amagi Brilliant Park,TV,13,Finished Airing,Fall 2014,Light novel,24,PG-13 - Teens 13 or older,7.54,253220
Kuroko no Basket 3rd Season,TV,25,Finished Airing,Winter 2015,Manga,24,PG-13 - Teens 13 or older,8.37,280222
Sword Art Online Movie: Ordinal Scale,Movie,1,Finished Airing,,Original,119,R+ - Mild Nudity,7.69,273615
